batch_size = 300
bias = True
clear_checkpoint = True
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-20_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 42806937
tolerance = 1e-05

init_time = 0.000
Training...
step = 0, loss = 1.4079464, r2_train = 0.16265269, r2_test = 0.16182478, train_time = 33.693, used_time = 39.281
step = 315, loss = 0.13800552, r2_train = 0.020541579, r2_test = 0.021716254, train_time = 24.179, used_time = 8003.229
step = 320, loss = 0.13857852, r2_train = 0.027656405, r2_test = 0.02940352, train_time = 24.138, used_time = 8129.301
step = 325, loss = 0.13745516, r2_train = 0.023076353, r2_test = 0.024782048, train_time = 24.037, used_time = 8254.973
step = 330, loss = 0.13572998, r2_train = 0.020679229, r2_test = 0.022349367, train_time = 24.150, used_time = 8381.112
step = 335, loss = 0.13649239, r2_train = 0.019067246, r2_test = 0.021059358, train_time = 24.079, used_time = 8506.855
step = 340, loss = 0.13614448, r2_train = 0.021608406, r2_test = 0.023485044, train_time = 24.090, used_time = 8632.684
step = 345, loss = 0.1367136, r2_train = 0.020391713, r2_test = 0.022415787, train_time = 24.073, used_time = 8758.512
step = 350, loss = 0.13285415, r2_train = 0.03480919, r2_test = 0.036024789, train_time = 24.249, used_time = 8885.145
step = 355, loss = 0.13516239, r2_train = 0.019847751, r2_test = 0.021561626, train_time = 24.196, used_time = 9011.506
step = 360, loss = 0.13627653, r2_train = 0.020725167, r2_test = 0.022860164, train_time = 24.179, used_time = 9137.799
step = 365, loss = 0.13593865, r2_train = 0.02693408, r2_test = 0.027328777, train_time = 24.181, used_time = 9264.098
step = 370, loss = 0.13527522, r2_train = 0.028821879, r2_test = 0.030329692, train_time = 24.121, used_time = 9390.084
step = 375, loss = 0.13306625, r2_train = 0.018918083, r2_test = 0.020948791, train_time = 24.222, used_time = 9516.604
step = 380, loss = 0.13169437, r2_train = 0.021897988, r2_test = 0.023735547, train_time = 24.161, used_time = 9642.755
step = 385, loss = 0.13315987, r2_train = 0.030039348, r2_test = 0.030904168, train_time = 24.144, used_time = 9768.858
step = 390, loss = 0.13286031, r2_train = 0.020309517, r2_test = 0.02213059, train_time = 24.215, used_time = 9895.207
step = 395, loss = 0.13371033, r2_train = 0.019401566, r2_test = 0.020687672, train_time = 24.127, used_time = 10021.192
step = 400, loss = 0.13231274, r2_train = 0.018416386, r2_test = 0.019994372, train_time = 24.172, used_time = 10147.424
step = 405, loss = 0.1340685, r2_train = 0.019358332, r2_test = 0.021475649, train_time = 24.061, used_time = 10273.147
step = 410, loss = 0.12806396, r2_train = 0.021131119, r2_test = 0.022457094, train_time = 24.067, used_time = 10398.887
step = 415, loss = 0.13162344, r2_train = 0.026101335, r2_test = 0.026858954, train_time = 24.123, used_time = 10524.919
step = 420, loss = 0.13175809, r2_train = 0.019016078, r2_test = 0.020853992, train_time = 24.097, used_time = 10650.781
step = 425, loss = 0.13338017, r2_train = 0.021642961, r2_test = 0.023473188, train_time = 24.123, used_time = 10776.808
step = 430, loss = 0.13266873, r2_train = 0.028792503, r2_test = 0.030626133, train_time = 24.143, used_time = 10902.950
step = 435, loss = 0.12916387, r2_train = 0.021940335, r2_test = 0.023964337, train_time = 24.117, used_time = 11028.946
step = 440, loss = 0.12979818, r2_train = 0.017502439, r2_test = 0.01962987, train_time = 24.080, used_time = 11154.792
step = 445, loss = 0.13052076, r2_train = 0.022566855, r2_test = 0.023981928, train_time = 24.176, used_time = 11281.082
step = 450, loss = 0.13048847, r2_train = 0.02326946, r2_test = 0.02481844, train_time = 24.133, used_time = 11407.190
step = 455, loss = 0.1283993, r2_train = 0.019267585, r2_test = 0.021183163, train_time = 24.182, used_time = 11533.562
step = 460, loss = 0.12952889, r2_train = 0.021351031, r2_test = 0.023204624, train_time = 24.083, used_time = 11659.327
step = 465, loss = 0.12859909, r2_train = 0.021457485, r2_test = 0.023267908, train_time = 24.226, used_time = 11785.852
step = 470, loss = 0.12829268, r2_train = 0.019281364, r2_test = 0.020943942, train_time = 24.153, used_time = 11912.074
step = 475, loss = 0.12716358, r2_train = 0.020622666, r2_test = 0.0220189, train_time = 24.225, used_time = 12038.647
step = 480, loss = 0.12917957, r2_train = 0.018162422, r2_test = 0.020089692, train_time = 24.103, used_time = 12164.460
step = 485, loss = 0.12937187, r2_train = 0.026797167, r2_test = 0.028897518, train_time = 24.285, used_time = 12291.277
step = 490, loss = 0.12793761, r2_train = 0.020840621, r2_test = 0.023128774, train_time = 24.219, used_time = 12417.768
step = 495, loss = 0.13014622, r2_train = 0.019706641, r2_test = 0.021388708, train_time = 23.994, used_time = 12543.203
step = 500, loss = 0.12787988, r2_train = 0.019386784, r2_test = 0.020467533, train_time = 24.155, used_time = 12669.353
step = 505, loss = 0.12635854, r2_train = 0.018233476, r2_test = 0.019705556, train_time = 24.144, used_time = 12795.503
step = 510, loss = 0.12664328, r2_train = 0.01967156, r2_test = 0.021273241, train_time = 24.927, used_time = 12925.550
step = 515, loss = 0.12620642, r2_train = 0.02182376, r2_test = 0.022903262, train_time = 24.433, used_time = 13053.152
step = 520, loss = 0.12492524, r2_train = 0.018582676, r2_test = 0.020408332, train_time = 24.706, used_time = 13182.029
step = 525, loss = 0.12582449, r2_train = 0.019253467, r2_test = 0.021060103, train_time = 24.804, used_time = 13311.511
step = 530, loss = 0.12702497, r2_train = 0.019231469, r2_test = 0.021234667, train_time = 24.898, used_time = 13441.436
step = 535, loss = 0.12599648, r2_train = 0.021153079, r2_test = 0.022283872, train_time = 24.871, used_time = 13571.198
step = 540, loss = 0.1259826, r2_train = 0.022644308, r2_test = 0.024215506, train_time = 24.887, used_time = 13701.046
step = 545, loss = 0.12797239, r2_train = 0.032868997, r2_test = 0.033973075, train_time = 24.888, used_time = 13830.934
step = 550, loss = 0.12556956, r2_train = 0.017782845, r2_test = 0.019640192, train_time = 24.907, used_time = 13960.876
step = 555, loss = 0.12536004, r2_train = 0.023350297, r2_test = 0.025146636, train_time = 24.976, used_time = 14091.239
step = 560, loss = 0.12480349, r2_train = 0.018539972, r2_test = 0.019838217, train_time = 25.070, used_time = 14222.020
step = 565, loss = 0.12519883, r2_train = 0.020540529, r2_test = 0.022297339, train_time = 25.043, used_time = 14352.753
step = 570, loss = 0.12403121, r2_train = 0.037843382, r2_test = 0.039329142, train_time = 24.988, used_time = 14483.109
step = 575, loss = 0.12317591, r2_train = 0.017709882, r2_test = 0.019130459, train_time = 25.061, used_time = 14613.789
step = 580, loss = 0.12473401, r2_train = 0.018454847, r2_test = 0.019923918, train_time = 24.966, used_time = 14744.107
step = 585, loss = 0.12327955, r2_train = 0.018809599, r2_test = 0.020514201, train_time = 25.006, used_time = 14874.644
step = 590, loss = 0.12612008, r2_train = 0.032442509, r2_test = 0.033989538, train_time = 25.111, used_time = 15005.578
step = 595, loss = 0.12316553, r2_train = 0.018716636, r2_test = 0.020137917, train_time = 25.029, used_time = 15136.082
step = 600, loss = 0.12475164, r2_train = 0.022600827, r2_test = 0.025317765, train_time = 24.125, used_time = 15262.054
step = 605, loss = 0.12456551, r2_train = 0.018015543, r2_test = 0.019879877, train_time = 23.275, used_time = 15383.855
step = 610, loss = 0.12524897, r2_train = 0.01770276, r2_test = 0.019262829, train_time = 22.973, used_time = 15504.054
step = 615, loss = 0.12243061, r2_train = 0.018641377, r2_test = 0.01991817, train_time = 22.880, used_time = 15623.841
step = 620, loss = 0.12421552, r2_train = 0.019074555, r2_test = 0.020835941, train_time = 22.795, used_time = 15743.288
step = 625, loss = 0.12128318, r2_train = 0.021578445, r2_test = 0.022982672, train_time = 23.031, used_time = 15863.795
step = 630, loss = 0.1237969, r2_train = 0.019891128, r2_test = 0.021437448, train_time = 22.898, used_time = 15983.682
step = 635, loss = 0.12277842, r2_train = 0.021785885, r2_test = 0.02324793, train_time = 23.113, used_time = 16104.687
step = 640, loss = 0.12329761, r2_train = 0.019294856, r2_test = 0.020372334, train_time = 23.083, used_time = 16225.476
step = 645, loss = 0.12350158, r2_train = 0.030501298, r2_test = 0.031275618, train_time = 22.804, used_time = 16344.897
step = 650, loss = 0.12345709, r2_train = 0.025812374, r2_test = 0.027330019, train_time = 23.245, used_time = 16466.403
step = 655, loss = 0.1230598, r2_train = 0.017331852, r2_test = 0.01859697, train_time = 22.950, used_time = 16586.529
step = 660, loss = 0.12144714, r2_train = 0.02057397, r2_test = 0.02227571, train_time = 23.043, used_time = 16707.028
step = 665, loss = 0.12287578, r2_train = 0.019486508, r2_test = 0.0206402, train_time = 23.035, used_time = 16827.594
step = 670, loss = 0.12181719, r2_train = 0.017774508, r2_test = 0.019034466, train_time = 23.052, used_time = 16948.296
step = 675, loss = 0.12133963, r2_train = 0.0192335, r2_test = 0.020694186, train_time = 23.118, used_time = 17069.298
step = 680, loss = 0.12276679, r2_train = 0.018911272, r2_test = 0.020414182, train_time = 23.066, used_time = 17189.993
step = 685, loss = 0.12314648, r2_train = 0.016675878, r2_test = 0.018050913, train_time = 23.066, used_time = 17310.757
step = 690, loss = 0.12283995, r2_train = 0.023374809, r2_test = 0.024314457, train_time = 23.233, used_time = 17432.347
step = 695, loss = 0.12021688, r2_train = 0.01826889, r2_test = 0.019509992, train_time = 23.106, used_time = 17553.290
step = 700, loss = 0.12208685, r2_train = 0.020357373, r2_test = 0.02214257, train_time = 23.054, used_time = 17673.868
step = 705, loss = 0.12214432, r2_train = 0.023106399, r2_test = 0.02418715, train_time = 22.982, used_time = 17794.224
step = 710, loss = 0.12175691, r2_train = 0.01814072, r2_test = 0.019277146, train_time = 23.146, used_time = 17915.397
step = 715, loss = 0.12198351, r2_train = 0.017699972, r2_test = 0.019235424, train_time = 23.050, used_time = 18035.830
step = 720, loss = 0.12042738, r2_train = 0.018089077, r2_test = 0.019680482, train_time = 23.133, used_time = 18156.759
step = 725, loss = 0.1221698, r2_train = 0.018640704, r2_test = 0.019389392, train_time = 23.041, used_time = 18277.016
step = 730, loss = 0.12123341, r2_train = 0.017448656, r2_test = 0.018803873, train_time = 23.131, used_time = 18397.787
step = 735, loss = 0.12194807, r2_train = 0.022292839, r2_test = 0.023394727, train_time = 23.058, used_time = 18518.352
step = 740, loss = 0.12246145, r2_train = 0.023359747, r2_test = 0.024222059, train_time = 23.237, used_time = 18639.632
step = 745, loss = 0.12126162, r2_train = 0.024219944, r2_test = 0.024973942, train_time = 23.213, used_time = 18761.073
step = 750, loss = 0.11834431, r2_train = 0.019091175, r2_test = 0.019933708, train_time = 23.000, used_time = 18881.372
step = 755, loss = 0.11907569, r2_train = 0.018167718, r2_test = 0.019639224, train_time = 23.089, used_time = 19002.162
step = 760, loss = 0.12058058, r2_train = 0.022876237, r2_test = 0.024482547, train_time = 23.016, used_time = 19122.581
step = 765, loss = 0.121414, r2_train = 0.018330612, r2_test = 0.019980902, train_time = 22.955, used_time = 19242.787
step = 770, loss = 0.12143395, r2_train = 0.01771281, r2_test = 0.019862572, train_time = 23.088, used_time = 19363.584
step = 775, loss = 0.12067032, r2_train = 0.021843242, r2_test = 0.023946327, train_time = 23.037, used_time = 19484.254
step = 780, loss = 0.12042202, r2_train = 0.021030704, r2_test = 0.021936561, train_time = 23.163, used_time = 19605.507
step = 785, loss = 0.11879206, r2_train = 0.016054278, r2_test = 0.017658446, train_time = 23.149, used_time = 19726.778
step = 790, loss = 0.12171452, r2_train = 0.021225362, r2_test = 0.022598687, train_time = 23.207, used_time = 19848.230
step = 795, loss = 0.11879704, r2_train = 0.017980814, r2_test = 0.019647175, train_time = 23.155, used_time = 19969.397
step = 800, loss = 0.12022273, r2_train = 0.017369751, r2_test = 0.019019057, train_time = 22.985, used_time = 20089.779
step = 805, loss = 0.12023695, r2_train = 0.021121483, r2_test = 0.02253208, train_time = 23.148, used_time = 20210.923
step = 810, loss = 0.12164525, r2_train = 0.018940351, r2_test = 0.020803436, train_time = 23.190, used_time = 20332.277
step = 815, loss = 0.11849835, r2_train = 0.025195378, r2_test = 0.026042617, train_time = 23.217, used_time = 20453.790
step = 820, loss = 0.1197471, r2_train = 0.019084712, r2_test = 0.020945728, train_time = 23.322, used_time = 20575.882
step = 825, loss = 0.1176067, r2_train = 0.020722139, r2_test = 0.021245304, train_time = 23.417, used_time = 20698.447
step = 830, loss = 0.11984434, r2_train = 0.018633351, r2_test = 0.020425438, train_time = 22.852, used_time = 20818.206
step = 835, loss = 0.12093398, r2_train = 0.019564712, r2_test = 0.02085995, train_time = 22.823, used_time = 20937.832
step = 840, loss = 0.11810331, r2_train = 0.017242139, r2_test = 0.018498929, train_time = 23.101, used_time = 21058.698
step = 845, loss = 0.12104199, r2_train = 0.018694299, r2_test = 0.020034204, train_time = 23.135, used_time = 21179.765
step = 850, loss = 0.11616189, r2_train = 0.023158726, r2_test = 0.025428909, train_time = 23.164, used_time = 21300.968
step = 855, loss = 0.11875283, r2_train = 0.019533425, r2_test = 0.021503553, train_time = 23.030, used_time = 21421.599
step = 860, loss = 0.11820381, r2_train = 0.017315284, r2_test = 0.018892891, train_time = 23.205, used_time = 21542.935
step = 865, loss = 0.12169186, r2_train = 0.022163999, r2_test = 0.023255057, train_time = 23.117, used_time = 21664.081
step = 870, loss = 0.11962761, r2_train = 0.016757279, r2_test = 0.017996998, train_time = 23.319, used_time = 21785.953
step = 875, loss = 0.11696872, r2_train = 0.017340539, r2_test = 0.018384033, train_time = 23.198, used_time = 21907.419
step = 880, loss = 0.11853838, r2_train = 0.021605166, r2_test = 0.022454105, train_time = 23.171, used_time = 22028.743
step = 885, loss = 0.11766235, r2_train = 0.020723023, r2_test = 0.022018973, train_time = 23.087, used_time = 22149.504
step = 890, loss = 0.11861839, r2_train = 0.018331792, r2_test = 0.019622238, train_time = 23.079, used_time = 22270.267
step = 895, loss = 0.12227005, r2_train = 0.020544106, r2_test = 0.021355756, train_time = 23.070, used_time = 22391.196
step = 900, loss = 0.11966355, r2_train = 0.017545092, r2_test = 0.019420183, train_time = 23.034, used_time = 22511.704
step = 905, loss = 0.1185919, r2_train = 0.016263929, r2_test = 0.017749528, train_time = 23.149, used_time = 22632.921
step = 910, loss = 0.11899457, r2_train = 0.019057413, r2_test = 0.020816679, train_time = 23.108, used_time = 22753.895
step = 915, loss = 0.11934617, r2_train = 0.020159881, r2_test = 0.021658159, train_time = 23.152, used_time = 22875.099
step = 920, loss = 0.11647815, r2_train = 0.018536738, r2_test = 0.020335677, train_time = 23.046, used_time = 22995.656
step = 925, loss = 0.11647273, r2_train = 0.024701578, r2_test = 0.025170762, train_time = 23.330, used_time = 23117.746
step = 930, loss = 0.11857784, r2_train = 0.017147552, r2_test = 0.018827822, train_time = 23.270, used_time = 23239.537
step = 935, loss = 0.12033931, r2_train = 0.018256316, r2_test = 0.01965967, train_time = 23.202, used_time = 23360.980
step = 940, loss = 0.1172547, r2_train = 0.017817474, r2_test = 0.018901487, train_time = 23.345, used_time = 23483.079
step = 945, loss = 0.11686326, r2_train = 0.018310572, r2_test = 0.019824262, train_time = 23.098, used_time = 23604.090
step = 950, loss = 0.1160981, r2_train = 0.01832313, r2_test = 0.019560637, train_time = 23.236, used_time = 23725.526
step = 955, loss = 0.11542025, r2_train = 0.016315792, r2_test = 0.017502824, train_time = 23.287, used_time = 23847.372
step = 960, loss = 0.11872003, r2_train = 0.018487318, r2_test = 0.019904734, train_time = 23.552, used_time = 23970.503
step = 965, loss = 0.11713445, r2_train = 0.01610991, r2_test = 0.017265442, train_time = 23.346, used_time = 24092.717
step = 970, loss = 0.11611251, r2_train = 0.021400121, r2_test = 0.023364173, train_time = 23.399, used_time = 24215.044
step = 975, loss = 0.11750665, r2_train = 0.02809086, r2_test = 0.029142174, train_time = 23.277, used_time = 24336.871
step = 980, loss = 0.11629471, r2_train = 0.017366227, r2_test = 0.01872469, train_time = 23.349, used_time = 24459.066
step = 985, loss = 0.11612926, r2_train = 0.017811743, r2_test = 0.019056717, train_time = 23.285, used_time = 24580.870
step = 990, loss = 0.11712389, r2_train = 0.023756112, r2_test = 0.025139544, train_time = 23.271, used_time = 24702.574
step = 995, loss = 0.1166127, r2_train = 0.018690568, r2_test = 0.0203257, train_time = 23.093, used_time = 24823.518
step = 1000, loss = 0.11842334, r2_train = 0.020265838, r2_test = 0.021518294, train_time = 23.263, used_time = 24945.298
MLP(
  (net): Sequential(
    (0): Linear(in_features=68, out_features=100, bias=True)
    (1): GELU()
    (2): Linear(in_features=100, out_features=200, bias=True)
    (3): GELU()
    (4): Linear(in_features=200, out_features=200, bias=True)
    (5): GELU()
    (6): Linear(in_features=200, out_features=100, bias=True)
    (7): GELU()
    (8): Linear(in_features=100, out_features=100, bias=True)
    (9): GELU()
    (10): Linear(in_features=100, out_features=50, bias=True)
    (11): GELU()
    (12): Linear(in_features=50, out_features=20, bias=True)
    (13): GELU()
    (14): Linear(in_features=20, out_features=1, bias=True)
  )
)

Total number of trainable parameters: 103591

Checkpoint found: 1000

batch_size = 300
bias = True
clear_checkpoint = False
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-20_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 64047777
tolerance = 1e-05

init_time = 0.000
Training...
MLP(
  (net): Sequential(
    (0): Linear(in_features=68, out_features=100, bias=True)
    (1): GELU()
    (2): Linear(in_features=100, out_features=200, bias=True)
    (3): GELU()
    (4): Linear(in_features=200, out_features=200, bias=True)
    (5): GELU()
    (6): Linear(in_features=200, out_features=100, bias=True)
    (7): GELU()
    (8): Linear(in_features=100, out_features=100, bias=True)
    (9): GELU()
    (10): Linear(in_features=100, out_features=50, bias=True)
    (11): GELU()
    (12): Linear(in_features=50, out_features=20, bias=True)
    (13): GELU()
    (14): Linear(in_features=20, out_features=1, bias=True)
  )
)

Total number of trainable parameters: 103591

Checkpoint found: 1000

batch_size = 300
bias = True
clear_checkpoint = False
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-20_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 42813077
tolerance = 1e-05

init_time = 0.000
Training...
MLP(
  (net): Sequential(
    (0): Linear(in_features=68, out_features=100, bias=True)
    (1): GELU()
    (2): Linear(in_features=100, out_features=200, bias=True)
    (3): GELU()
    (4): Linear(in_features=200, out_features=200, bias=True)
    (5): GELU()
    (6): Linear(in_features=200, out_features=100, bias=True)
    (7): GELU()
    (8): Linear(in_features=100, out_features=100, bias=True)
    (9): GELU()
    (10): Linear(in_features=100, out_features=50, bias=True)
    (11): GELU()
    (12): Linear(in_features=50, out_features=20, bias=True)
    (13): GELU()
    (14): Linear(in_features=20, out_features=1, bias=True)
  )
)

Total number of trainable parameters: 103591

Checkpoint found: 1000

batch_size = 300
bias = True
clear_checkpoint = False
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.0005
max_step = 1000
n_in = 68
n_out = 1
net_depth = 9
net_width = (100, 200, 200, 100, 100, 50, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd9_nw-100-200-200-100-100-50-20_bias/out
out_infix = 
print_step = 5
save_step = 10
seed = 77180043
tolerance = 1e-05

init_time = 0.000
Training...
MLP(
  (net): Sequential(
    (0): Linear(in_features=68, out_features=100, bias=True)
    (1): GELU()
    (2): Linear(in_features=100, out_features=200, bias=True)
    (3): GELU()
    (4): Linear(in_features=200, out_features=200, bias=True)
    (5): GELU()
    (6): Linear(in_features=200, out_features=100, bias=True)
    (7): GELU()
