bias = True
clear_checkpoint = False
clip_grad = 0
cuda = -1
device = cpu
dtype = float64
lr = 0.001
max_step = 10000
n_in = 102
n_out = 1
net_depth = 5
net_width = (100, 100, 20)
no_stdout = False
optimizer = adam
out_dir = out
out_filename = out/MLP_nd5_nw-100-100-20_bias/out
out_infix = 
print_step = 100
save_step = 100
seed = 27702032

MLP(
  (net): Sequential(
    (0): Linear(in_features=102, out_features=100, bias=True)
    (1): Linear(in_features=100, out_features=100, bias=True)
    (2): ReLU()
    (3): Linear(in_features=100, out_features=20, bias=True)
    (4): ReLU()
    (5): Linear(in_features=20, out_features=1, bias=True)
  )
)

Total number of trainable parameters: 22441
init_time = 0.000
Training...
step = 0, loss = 0.4140663, r2_train = -1.4084851, r2_test = -1.3904169, train_time = 0.249, used_time = 0.249
step = 8500, loss = 2.5764101e-05, r2_train = 0.99981588, r2_test = 0.99981628, train_time = 0.252, used_time = 2124.442
step = 8600, loss = 0.00025234806, r2_train = 0.99912903, r2_test = 0.99912864, train_time = 0.253, used_time = 2149.934
step = 8700, loss = 3.8286732e-05, r2_train = 0.99968666, r2_test = 0.99968366, train_time = 0.256, used_time = 2175.683
step = 8800, loss = 0.00030591663, r2_train = 0.99816508, r2_test = 0.99817643, train_time = 0.250, used_time = 2200.846
step = 8900, loss = 3.5919405e-05, r2_train = 0.99974179, r2_test = 0.99973988, train_time = 0.254, used_time = 2226.367
step = 9000, loss = 1.755661e-05, r2_train = 0.99988193, r2_test = 0.99988428, train_time = 0.257, used_time = 2252.201
step = 9100, loss = 7.9377959e-05, r2_train = 0.99931752, r2_test = 0.99932631, train_time = 0.254, used_time = 2277.764
step = 9200, loss = 2.3618629e-05, r2_train = 0.9997275, r2_test = 0.99972561, train_time = 0.257, used_time = 2303.641
step = 9300, loss = 1.8375951e-05, r2_train = 0.99987663, r2_test = 0.99987901, train_time = 0.255, used_time = 2329.320
step = 9400, loss = 4.8838336e-05, r2_train = 0.99950499, r2_test = 0.99949981, train_time = 0.257, used_time = 2355.223
step = 9500, loss = 0.00010254438, r2_train = 0.99935358, r2_test = 0.99936375, train_time = 0.256, used_time = 2380.988
step = 9600, loss = 1.6908879e-05, r2_train = 0.99986842, r2_test = 0.99987445, train_time = 0.255, used_time = 2406.638
step = 9700, loss = 1.8684016e-05, r2_train = 0.99988081, r2_test = 0.99988612, train_time = 0.256, used_time = 2432.385
step = 9800, loss = 4.5694228e-05, r2_train = 0.99961935, r2_test = 0.99961807, train_time = 0.254, used_time = 2457.979
step = 9900, loss = 6.0653827e-05, r2_train = 0.99973499, r2_test = 0.99973889, train_time = 0.261, used_time = 2484.280
step = 10000, loss = 2.3991451e-05, r2_train = 0.99982489, r2_test = 0.99982398, train_time = 0.252, used_time = 2509.680
